               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032695,            0.013045,            0.001263,             0.90312,             0.86925,             0.92057,             0.53393,            0.031094,           0.0062462,          0.00076692,             0.00769,             0.00769,             0.00769
                  37,            0.032768,            0.013243,            0.001184,             0.91833,             0.86007,             0.92449,             0.53529,            0.031078,           0.0062134,          0.00079934,            0.007624,            0.007624,            0.007624
                  38,            0.032237,            0.013283,           0.0012208,              0.9028,             0.87043,             0.92405,             0.53828,            0.030905,           0.0062038,            0.001073,            0.007558,            0.007558,            0.007558
                  39,            0.032346,            0.012908,           0.0012384,              0.9142,             0.87013,             0.92328,             0.53847,            0.031484,           0.0062639,          0.00070627,            0.007492,            0.007492,            0.007492
                  40,            0.032071,            0.012728,           0.0012329,             0.90682,             0.87854,             0.92838,             0.54363,            0.031035,           0.0062547,           0.0007798,            0.007426,            0.007426,            0.007426
                  41,            0.032267,            0.012748,           0.0013129,             0.91886,             0.87453,             0.92473,             0.53866,            0.030699,            0.006233,          0.00082977,             0.00736,             0.00736,             0.00736
                  42,            0.031999,            0.012908,           0.0011648,             0.91904,             0.88082,             0.92779,             0.54397,            0.030623,           0.0061896,           0.0010601,            0.007294,            0.007294,            0.007294
                  43,            0.031752,            0.012756,           0.0011003,               0.919,             0.88124,             0.93007,             0.54723,            0.030858,           0.0061776,          0.00072142,            0.007228,            0.007228,            0.007228
                  44,            0.031626,            0.012622,           0.0011189,             0.91882,             0.88101,             0.92864,             0.55062,            0.030653,           0.0061291,          0.00072525,            0.007162,            0.007162,            0.007162
                  45,            0.031496,            0.012633,           0.0011362,             0.91607,             0.87969,             0.92792,             0.54983,            0.030886,           0.0061334,           0.0007542,            0.007096,            0.007096,            0.007096
                  46,            0.031423,            0.012382,           0.0010227,             0.91303,             0.89014,             0.93523,             0.55643,            0.030449,           0.0060826,          0.00072173,             0.00703,             0.00703,             0.00703
                  47,            0.031269,            0.012915,           0.0010503,             0.92959,             0.86759,             0.93106,             0.55671,            0.030399,           0.0061495,          0.00059399,            0.006964,            0.006964,            0.006964
                  48,            0.030874,            0.012589,           0.0010392,              0.9194,             0.87592,             0.93322,             0.55518,            0.030113,           0.0060917,          0.00086933,            0.006898,            0.006898,            0.006898
                  49,            0.030711,            0.012351,          0.00099572,             0.90852,             0.89415,             0.93569,             0.55779,            0.030183,           0.0060375,          0.00061917,            0.006832,            0.006832,            0.006832
                  50,            0.030773,            0.012488,          0.00096818,             0.93171,             0.87975,             0.93586,             0.56265,            0.030068,           0.0060325,          0.00074159,            0.006766,            0.006766,            0.006766
                  51,            0.030767,            0.012266,          0.00093672,             0.91991,             0.89321,             0.93679,             0.56664,            0.029674,           0.0059746,          0.00071666,              0.0067,              0.0067,              0.0067
                  52,            0.030571,            0.012322,           0.0010606,             0.92966,             0.88253,             0.93463,             0.56217,            0.029927,           0.0060031,          0.00071136,            0.006634,            0.006634,            0.006634
                  53,            0.030406,            0.012307,           0.0011083,              0.9208,             0.88428,             0.93325,             0.55786,            0.029854,           0.0060514,          0.00087874,            0.006568,            0.006568,            0.006568
                  54,             0.03026,            0.012395,          0.00099974,             0.91837,             0.88048,             0.93136,             0.56287,            0.029843,            0.006037,          0.00083082,            0.006502,            0.006502,            0.006502
                  55,            0.030206,            0.012383,           0.0010824,             0.91545,              0.8948,             0.93987,             0.56695,            0.029911,           0.0059585,          0.00057673,            0.006436,            0.006436,            0.006436
                  56,            0.030044,            0.012116,           0.0010316,               0.924,              0.8879,             0.93998,             0.56626,            0.029706,           0.0060131,          0.00087765,             0.00637,             0.00637,             0.00637
                  57,            0.030154,            0.011961,          0.00091112,             0.92473,             0.88914,             0.93369,              0.5673,            0.029703,           0.0060377,          0.00068346,            0.006304,            0.006304,            0.006304
                  58,            0.029997,            0.012145,          0.00090352,             0.93358,             0.88183,             0.93889,             0.57192,            0.029627,           0.0059796,          0.00066796,            0.006238,            0.006238,            0.006238
                  59,            0.029304,            0.012107,          0.00092852,             0.92153,             0.88893,             0.93691,             0.57147,            0.029784,           0.0060011,          0.00054781,            0.006172,            0.006172,            0.006172
                  60,            0.029718,            0.011936,           0.0009222,             0.93977,             0.88793,             0.93661,             0.57017,            0.029957,           0.0059605,          0.00063543,            0.006106,            0.006106,            0.006106
                  61,            0.029482,            0.011927,          0.00073869,             0.93307,             0.89085,             0.94001,             0.57036,            0.029646,           0.0060023,          0.00083557,             0.00604,             0.00604,             0.00604
                  62,            0.029389,            0.011782,          0.00072242,             0.93201,             0.88795,             0.93737,             0.57302,             0.02975,           0.0059687,          0.00072896,            0.005974,            0.005974,            0.005974
                  63,            0.028838,            0.011892,           0.0008338,             0.93486,             0.90076,             0.94068,             0.57965,            0.029535,           0.0059163,          0.00053472,            0.005908,            0.005908,            0.005908
                  64,            0.029236,            0.011854,          0.00082225,             0.93398,             0.89178,             0.93653,             0.57432,            0.029484,           0.0059209,          0.00070126,            0.005842,            0.005842,            0.005842
                  65,            0.029298,            0.011878,          0.00089418,             0.91764,             0.89924,             0.93663,              0.5734,            0.029699,           0.0059626,          0.00071381,            0.005776,            0.005776,            0.005776
                  66,            0.028992,            0.011929,          0.00095229,             0.91803,             0.90252,             0.93735,             0.57482,            0.029582,           0.0059774,          0.00061423,             0.00571,             0.00571,             0.00571
                  67,            0.028897,            0.011775,            0.000883,              0.9298,             0.89014,             0.93483,             0.57871,            0.029389,           0.0058882,          0.00053133,            0.005644,            0.005644,            0.005644
                  68,            0.028986,            0.011918,          0.00096138,             0.92823,             0.89568,             0.93783,             0.58096,            0.029213,           0.0059127,          0.00071515,            0.005578,            0.005578,            0.005578
                  69,            0.028514,            0.011512,          0.00080742,             0.93072,             0.89518,             0.93841,             0.58106,            0.029261,           0.0059475,          0.00060036,            0.005512,            0.005512,            0.005512
                  70,            0.028679,            0.011774,           0.0007236,             0.92908,             0.90087,             0.94109,             0.58181,            0.029059,           0.0058646,           0.0006156,            0.005446,            0.005446,            0.005446
                  71,            0.028211,            0.011555,           0.0007051,             0.93636,             0.89337,             0.94087,              0.5817,            0.029082,           0.0058521,          0.00061423,             0.00538,             0.00538,             0.00538
                  72,            0.028562,            0.011641,           0.0010393,             0.92484,             0.90487,             0.94263,             0.58585,            0.029021,           0.0058932,          0.00063447,            0.005314,            0.005314,            0.005314
                  73,            0.028321,            0.011767,          0.00079138,             0.93074,             0.89105,             0.93835,              0.5833,            0.029105,           0.0058914,          0.00065096,            0.005248,            0.005248,            0.005248
                  74,            0.028289,             0.01152,          0.00083797,              0.9316,             0.89049,             0.94071,             0.58235,            0.029248,           0.0058808,          0.00072089,            0.005182,            0.005182,            0.005182
                  75,            0.028092,             0.01161,          0.00077667,             0.93488,             0.89327,             0.94117,             0.58351,            0.029087,           0.0058443,          0.00061631,            0.005116,            0.005116,            0.005116
                  76,            0.027882,            0.011513,          0.00076141,             0.93607,             0.90073,             0.94185,             0.58328,            0.029016,           0.0058379,          0.00065204,             0.00505,             0.00505,             0.00505
                  77,            0.027972,            0.011501,          0.00076082,             0.93455,             0.89926,             0.94379,             0.58843,            0.028785,           0.0058359,          0.00062604,            0.004984,            0.004984,            0.004984
                  78,             0.02773,            0.011276,          0.00071602,             0.93738,             0.89922,              0.9441,             0.58941,            0.029067,           0.0058322,           0.0007348,            0.004918,            0.004918,            0.004918
                  79,            0.027709,            0.011298,          0.00066655,             0.93526,             0.89946,             0.94531,             0.59055,             0.02892,           0.0058183,          0.00064476,            0.004852,            0.004852,            0.004852
                  80,            0.027496,            0.011396,          0.00075231,             0.93383,             0.90718,             0.94514,             0.58925,            0.028939,           0.0058162,          0.00067788,            0.004786,            0.004786,            0.004786
                  81,            0.027081,            0.011081,          0.00068111,             0.93287,             0.90442,             0.94494,             0.58827,             0.02893,            0.005842,          0.00073989,             0.00472,             0.00472,             0.00472
                  82,            0.027177,            0.011313,          0.00067181,              0.9427,             0.89741,             0.94207,             0.58854,            0.028696,           0.0058086,          0.00070537,            0.004654,            0.004654,            0.004654
                  83,            0.026786,            0.011099,          0.00059779,             0.93539,             0.90347,             0.94485,             0.59254,             0.02868,           0.0058287,          0.00074072,            0.004588,            0.004588,            0.004588
                  84,            0.026876,            0.011199,          0.00069176,             0.94362,             0.90084,             0.94721,             0.59667,            0.028726,           0.0058237,          0.00070336,            0.004522,            0.004522,            0.004522
                  85,             0.02716,            0.010967,          0.00063747,             0.94905,             0.90191,             0.95139,             0.59947,            0.028591,           0.0058091,          0.00067151,            0.004456,            0.004456,            0.004456
                  86,            0.026828,            0.011164,          0.00059085,             0.94524,             0.90606,             0.95091,             0.59901,            0.028585,           0.0058241,          0.00069418,             0.00439,             0.00439,             0.00439
                  87,            0.026397,            0.010963,          0.00071683,             0.94316,             0.90318,              0.9485,             0.59907,            0.028455,            0.005816,           0.0006402,            0.004324,            0.004324,            0.004324
                  88,            0.026605,            0.010996,           0.0006658,             0.92942,             0.90989,              0.9459,             0.59748,            0.028509,           0.0058289,          0.00064133,            0.004258,            0.004258,            0.004258
                  89,            0.026509,             0.01101,          0.00054803,             0.94305,             0.90676,             0.94832,             0.60013,            0.028498,           0.0058363,          0.00061516,            0.004192,            0.004192,            0.004192
                  90,            0.026003,            0.010924,          0.00061815,             0.93557,             0.91016,             0.95097,              0.6009,            0.028291,           0.0058223,           0.0006038,            0.004126,            0.004126,            0.004126
                  91,            0.026413,            0.010933,          0.00067623,             0.93562,             0.91022,             0.94926,             0.60333,            0.028257,           0.0058146,           0.0005393,             0.00406,             0.00406,             0.00406
