               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032984,             0.01326,           0.0014632,             0.92462,             0.87309,             0.92935,             0.53793,            0.030258,           0.0062537,           0.0007236,             0.00769,             0.00769,             0.00769
                  37,            0.032917,            0.013341,           0.0013379,             0.89321,             0.87566,             0.92075,             0.52837,            0.030118,           0.0062683,          0.00083837,            0.007624,            0.007624,            0.007624
                  38,            0.033018,            0.013525,           0.0012883,             0.91308,             0.86336,             0.92298,             0.54272,            0.029969,           0.0061808,          0.00078037,            0.007558,            0.007558,            0.007558
                  39,            0.032701,            0.013163,            0.001358,             0.92358,             0.86276,             0.92827,             0.54237,              0.0301,           0.0061755,          0.00067888,            0.007492,            0.007492,            0.007492
                  40,            0.032453,            0.012854,           0.0013358,             0.90772,             0.87021,             0.92663,             0.54078,            0.029973,           0.0062061,          0.00067509,            0.007426,            0.007426,            0.007426
                  41,            0.032601,            0.013028,           0.0013143,             0.91859,              0.8691,             0.92934,             0.54403,            0.029748,            0.006175,          0.00082235,             0.00736,             0.00736,             0.00736
                  42,            0.032518,            0.013044,            0.001313,             0.91337,             0.87999,             0.92962,              0.5475,            0.029836,           0.0061379,          0.00050508,            0.007294,            0.007294,            0.007294
                  43,            0.032313,            0.013071,           0.0013535,             0.91803,             0.86251,             0.92196,             0.53808,            0.030152,           0.0062256,          0.00068739,            0.007228,            0.007228,            0.007228
                  44,            0.032153,            0.013041,           0.0013245,             0.91116,             0.87556,             0.92934,             0.54647,              0.0298,           0.0062033,          0.00093247,            0.007162,            0.007162,            0.007162
                  45,            0.031939,            0.012892,           0.0012018,              0.9271,             0.88078,             0.92949,             0.54911,            0.029529,           0.0060768,          0.00085709,            0.007096,            0.007096,            0.007096
